Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Italy,Italy,IT,231.98,303.57,51.0,43.08,,false,
2024-01-01 01:00:00,Italy,Italy,IT,227.06,296.86,52.63,44.99,,false,
2024-01-01 02:00:00,Italy,Italy,IT,226.4,296.04,52.9,45.06,,false,
2024-01-01 03:00:00,Italy,Italy,IT,224.22,293.72,53.33,45.37,,false,
2024-01-01 04:00:00,Italy,Italy,IT,223.05,291.65,53.78,46.03,,false,
2024-01-01 05:00:00,Italy,Italy,IT,225.37,294.23,53.21,45.61,,false,
2024-01-01 06:00:00,Italy,Italy,IT,226.36,294.76,53.06,46.38,,false,
2024-01-01 07:00:00,Italy,Italy,IT,210.48,275.75,56.51,50.12,,false,
2024-01-01 08:00:00,Italy,Italy,IT,200.46,264.35,58.23,53.11,,false,
2024-01-01 09:00:00,Italy,Italy,IT,182.36,243.46,61.81,56.37,,false,
2024-01-01 10:00:00,Italy,Italy,IT,183.57,244.99,61.54,56.04,,false,
2024-01-01 11:00:00,Italy,Italy,IT,194.11,257.12,59.25,53.83,,false,
2024-01-01 12:00:00,Italy,Italy,IT,207.7,273.76,56.02,50.08,,false,
2024-01-01 13:00:00,Italy,Italy,IT,215.87,283.54,54.1,46.24,,false,
2024-01-01 14:00:00,Italy,Italy,IT,239.63,311.04,48.97,40.58,,false,
2024-01-01 15:00:00,Italy,Italy,IT,260.37,334.15,44.8,36.91,,false,
2024-01-01 16:00:00,Italy,Italy,IT,258.72,325.54,47.16,40.38,,false,
2024-01-01 17:00:00,Italy,Italy,IT,258.73,322.57,47.91,41.81,,false,
2024-01-01 18:00:00,Italy,Italy,IT,259.0,322.61,47.91,41.57,,false,
2024-01-01 19:00:00,Italy,Italy,IT,261.15,327.62,46.81,40.31,,false,
2024-01-01 20:00:00,Italy,Italy,IT,264.45,334.51,45.38,38.6,,false,
2024-01-01 21:00:00,Italy,Italy,IT,268.06,345.71,42.55,35.51,,false,
2024-01-01 22:00:00,Italy,Italy,IT,264.3,341.68,43.73,36.6,,false,
2024-01-01 23:00:00,Italy,Italy,IT,243.39,315.32,49.35,40.23,,false,
2024-01-02 00:00:00,Italy,Italy,IT,231.34,300.27,52.31,42.3,,false,
2024-01-02 01:00:00,Italy,Italy,IT,235.35,304.85,51.89,41.24,,false,
2024-01-02 02:00:00,Italy,Italy,IT,245.89,318.13,49.38,38.78,,false,
2024-01-02 03:00:00,Italy,Italy,IT,246.27,319.04,49.02,38.12,,false,
2024-01-02 04:00:00,Italy,Italy,IT,261.33,334.31,46.41,37.28,,false,
2024-01-02 05:00:00,Italy,Italy,IT,280.42,359.2,40.89,32.85,,false,
2024-01-02 06:00:00,Italy,Italy,IT,272.76,349.33,42.02,34.74,,false,
2024-01-02 07:00:00,Italy,Italy,IT,257.75,328.34,46.21,39.49,,false,
2024-01-02 08:00:00,Italy,Italy,IT,247.17,316.63,48.29,42.51,,false,
2024-01-02 09:00:00,Italy,Italy,IT,235.29,306.81,49.3,43.93,,false,
2024-01-02 10:00:00,Italy,Italy,IT,230.17,299.97,50.83,45.2,,false,
2024-01-02 11:00:00,Italy,Italy,IT,223.3,291.16,52.67,46.87,,false,
2024-01-02 12:00:00,Italy,Italy,IT,222.55,290.52,52.6,46.43,,false,
2024-01-02 13:00:00,Italy,Italy,IT,232.38,303.33,49.89,43.98,,false,
2024-01-02 14:00:00,Italy,Italy,IT,246.71,318.25,47.26,41.28,,false,
